SAMPLE.ID,LAKE.NO,DOY,TAXON,LENGTH.UM,ABUNDANCE.L,GROUP
E19001115zoo,A,115,Polyarthra,106.0142857,53.89380531,Rotifer
E19001115zoo,A,115,Keratella.cochlearis,123.096,2278.938053,Rotifer
E19001115zoo,A,115,Keratella.quadrata,161.3,7.699115044,Rotifer
E19001115zoo,A,115,Synchaeta,167.32,76.99115044,Rotifer
E19001115zoo,A,115,Nauplii,167.48,261.7699115,Nauplii
E19001115zoo,A,115,Bosmina,370.4222222,69.2920354,SmCladocera
E19001115zoo,A,115,Cyclopoida,547.9416667,92.38938053,Cyclopoid
E19001118zoo,A,118,Polyarthra,79.8,6.814159292,Rotifer
E19001118zoo,A,118,Keratella.cochlearis,103.32,3005.044248,Rotifer
E19001118zoo,A,118,Filinia,137.0333333,20.44247788,Rotifer
E19001118zoo,A,118,Pompholyx,162.4,20.44247788,Rotifer
E19001118zoo,A,118,Synchaeta,167.9,6.814159292,Rotifer
E19001118zoo,A,118,Keratella.quadrata,171.15,13.62831858,Rotifer
E19001118zoo,A,118,Nauplii,185.92,102.2123894,Nauplii
E19001118zoo,A,118,Bosmina,374.876,279.380531,SmCladocera
E19001118zoo,A,118,Cyclopoida,412.664,456.5486726,Cyclopoid
E19001121zoo,A,121,Polyarthra,91.84444444,78.05309735,Rotifer
E19001121zoo,A,121,Keratella.cochlearis,99.856,6807.964602,Rotifer
E19001121zoo,A,121,Filinia,115.5,17.34513274,Rotifer
E19001121zoo,A,121,Keratella.quadrata,149,8.672566372,Rotifer
E19001121zoo,A,121,Conochilus,156.775,34.69026549,Rotifer
E19001121zoo,A,121,Synchaeta,161.35,69.38053097,Rotifer
E19001121zoo,A,121,Nauplii,174.0785714,121.4159292,Nauplii
E19001121zoo,A,121,Bosmina,283.3142857,60.7079646,SmCladocera
E19001121zoo,A,121,Calanoida,338.8,8.672566372,Calanoid
E19001121zoo,A,121,Cyclopoida,356.644,242.8318584,Cyclopoid
E19001123zoo,A,123,Polyarthra,100.9,9.203539823,Rotifer
E19001123zoo,A,123,Keratella.cochlearis,109.224,4707.610619,Rotifer
E19001123zoo,A,123,Filinia,112.4,4.601769912,Rotifer
E19001123zoo,A,123,Pompholyx,137.7333333,13.80530973,Rotifer
E19001123zoo,A,123,Keratella.quadrata,150.2625,36.81415929,Rotifer
E19001123zoo,A,123,Nauplii,201.7666667,59.82300885,Nauplii
E19001123zoo,A,123,Brachionus,203.9,9.203539823,Rotifer
E19001123zoo,A,123,Bosmina,335.68,358.9380531,SmCladocera
E19001123zoo,A,123,Cyclopoida,451.96,823.7168142,Cyclopoid
E19001123zoo,A,123,Calanoida,508,4.601769912,Calanoid
E19001124zoo,A,124,Keratella.cochlearis,79.468,4522.743363,Rotifer
E19001124zoo,A,124,Polyarthra,90.4,4.336283186,Rotifer
E19001124zoo,A,124,Nauplii,135.456,121.4159292,Nauplii
E19001124zoo,A,124,Keratella.quadrata,146.7833333,26.01769912,Rotifer
E19001124zoo,A,124,Bosmina,259.092,273.1858407,SmCladocera
E19001124zoo,A,124,Calanoida,434.2,4.336283186,Calanoid
E19001124zoo,A,124,Cyclopoida,434.312,550.7079646,Cyclopoid
E19001125zoo,A,125,Keratella.cochlearis,75.324,5897.345133,Rotifer
E19001125zoo,A,125,Nauplii,156.1636364,68.14159292,Nauplii
E19001125zoo,A,125,Keratella.quadrata,172.7,24.77876106,Rotifer
E19001125zoo,A,125,Bosmina,235.0333333,148.6725664,SmCladocera
E19001125zoo,A,125,Cyclopoida,435.568,402.6548673,Cyclopoid
E19001125zoo,A,125,Calanoida,459.7,6.194690265,Calanoid
E19001125zoo,A,125,Asplanchna,461.6,6.194690265,Rotifer
E19001126zoo,A,126,Polyarthra,89.85,7.079646018,Rotifer
E19001126zoo,A,126,Keratella.cochlearis,111.14,5992.920354,Rotifer
E19001126zoo,A,126,Nauplii,125.9833333,84.95575221,Nauplii
E19001126zoo,A,126,Keratella.quadrata,163.7111111,31.85840708,Rotifer
E19001126zoo,A,126,Pompholyx,182.15,7.079646018,Rotifer
E19001126zoo,A,126,Asplanchna,311.9,3.539823009,Rotifer
E19001126zoo,A,126,Bosmina,341.148,102.6548673,SmCladocera
E19001126zoo,A,126,Cyclopoida,472.468,169.9115044,Cyclopoid
E19001126zoo,A,126,Camptocercus,518.4,3.539823009,LgCladocera
E19001126zoo,A,126,Calanoida,601.6,3.539823009,Calanoid
E19001128zoo,A,128,Keratella.cochlearis,76.868,3844.247788,Rotifer
E19001128zoo,A,128,Nauplii,125.736,134.5132743,Nauplii
E19001128zoo,A,128,Keratella.quadrata,155,7.079646018,Rotifer
E19001128zoo,A,128,Bosmina,284.78,219.4690265,SmCladocera
E19001128zoo,A,128,Cyclopoida,554.1,173.4513274,Cyclopoid
E19001130zoo,A,130,Keratella.cochlearis,81.788,2340.530973,Rotifer
E19001130zoo,A,130,Nauplii,111.368,208.4955752,Nauplii
E19001130zoo,A,130,Bosmina,297.588,457.3451327,SmCladocera
E19001130zoo,A,130,Cyclopoida,449.024,269.0265487,Cyclopoid
E19001130zoo,A,130,Daphnia,690.3,13.45132743,LgCladocera
E19001133zoo,A,133,Polyarthra,72.7,8.849557522,Rotifer
E19001133zoo,A,133,Nauplii,129.928,380.5309735,Nauplii
E19001133zoo,A,133,Keratella.cochlearis,131.808,1575.221239,Rotifer
E19001133zoo,A,133,Keratella.quadrata,154.3,17.69911504,Rotifer
E19001133zoo,A,133,Alonella,207.9,8.849557522,SmCladocera
E19001133zoo,A,133,Bosmina,275.0428571,61.94690265,SmCladocera
E19001133zoo,A,133,Asplanchna,429.3,17.69911504,Rotifer
E19001133zoo,A,133,Cyclopoida,506.37,88.49557522,Cyclopoid
E19001137zoo,A,137,Keratella.cochlearis,108.572,59.02654867,Rotifer
E19001137zoo,A,137,Nauplii,144.72,67.16814159,Nauplii
E19001137zoo,A,137,Keratella.quadrata,156.6,2.03539823,Rotifer
E19001137zoo,A,137,Bosmina,273,767.3451327,SmCladocera
E19001137zoo,A,137,Chydorus,276.05,8.14159292,SmCladocera
E19001137zoo,A,137,Asplanchna,418.7,10.17699115,Rotifer
