doy,pond,treatment,period,funcPeriod,temp,dosat,do,chl,pc,tp,tn,srp,no3
115,A,nofish,fish0,nofish,16,126.9,12.53,22.4,0.5,50.05,2.78,2.15,0.05
118,A,nofish,fish0,nofish,11.6,106,11.6,15.4,0.41,22.8,1.48,2.05,0.05
121,A,nofish,fish0,nofish,11.4,100,10.91,26.8,0.36,38.95,7.07,6.7,0.05
123,A,nofish,fish0,nofish,15.177,121.887,12.241,,,21.85,13.34,7.15,0.04
124,A,nofish,fish1,fish,14.1,117.9,12.14,7.4,0.17,,,,
125,A,nofish,fish1,fish,18,122.9,11.63,6.4,0.13,38.75,9.09,6.4,0.05
126,A,nofish,fish1,fish,16.3,107.4,10.52,6.7,0.15,,,,
127,A,nofish,fish1,fish,16.9,109.6,10.61,3.9,0.11,14.65,13.3,0.1,0.05
128,A,nofish,fish2,fish,14.5,96,9.77,5.2,0.17,,,,
129,A,nofish,fish2,fish,13.1,87.4,9.16,3.6,0.21,55.75,2.79,0.1,0.05
130,A,nofish,fish2,fish,14.6,92.5,9.45,2.3,0.16,,,,
131,A,nofish,fish2,fish,14.4,102.2,10.45,4.09,0.15,34.7,8.87,0.1,0.05
132,A,nofish,fish2,fish,13.4,100,10.44,2.75,0.15,,,,
133,A,nofish,fish2,fish,13.9,103.6,10.69,1.4,0.16,26.45,15.06,4.67,0.02
134,A,nofish,fish2,fish,14.9,101.1,10.41,2.23,0.1,,,,
135,A,nofish,fish2,fish,17.2,112.7,10.82,1.34,0.09,61.03,6.43,2.85,0.03
136,A,nofish,fish2,fish,20.1,112.6,10.23,1.59,0.08,,,,
137,A,nofish,fish2,fish,20.6,102.2,9.18,2.1,0.09,46.7,14.04,3.62,0.07
138,A,nofish,fish2,fish,21.7,117.6,10.39,2,0.07,,,,
139,A,nofish,fish2,fish,19,100.3,9.29,1.73,0.09,,,,
140,A,nofish,fish2,fish,16.6,97.5,9.45,1.81,0.1,35.02,14.46,5.09,0.04
141,A,nofish,fish2,fish,15.8,93.1,9.23,1.68,0.13,,,,
142,A,nofish,fish2,fish,14.9,91.3,9.2,1.21,0.12,40.18,14.32,6.68,0.03
143,A,nofish,fish2,fish,17,105,10.14,1.19,0.05,,,,
144,A,nofish,fish2,fish,17.7,106,10.1,1.84,0.12,47.24,13.52,6.59,0.03
145,A,nofish,fish2,fish,24.4,119.1,10.03,1.42,0,,,,
146,A,nofish,fish2,fish,22.9,127.6,10.99,1.01,0.02,,,,
147,A,nofish,fish2,fish,23,121.4,10.41,0.85,0.02,16.39,16.14,4.05,0.03
148,A,nofish,fish2,fish,20.9,109.6,9.78,0.8,0.03,,,,
149,A,nofish,fish2,fish,19.5,96.4,8.85,0.99,0.02,20.59,11.84,3.06,0.03
150,A,nofish,fish2,fish,20.8,107.2,9.61,0.91,0.06,,,,
151,A,nofish,fish2,fish,21.6,117,10.31,0.93,0,,,,
152,A,nofish,fish2,fish,24.1,136.1,11.47,0.88,0.01,21.35,1.98,6.17,0.06
153,A,nofish,fish2,fish,23,123.3,10.59,0.6,0.05,,,,
154,A,nofish,fish2,fish,22.6,121.1,10.46,0.46,0.05,16.95,4.06,4.44,0.06
155,A,nofish,fish2,fish,22.5,120.1,10.39,0.39,0.02,,,,
156,A,nofish,fish2,fish,25.6,145.8,11.87,0.35,0.02,10.05,11.94,3.36,0.04
157,A,nofish,fish2,fish,25.9,144.5,11.71,0.79,0.06,12.1,2.57,4.45,0.08
158,A,nofish,fish2,fish,25.9,134.4,10.91,0.42,0.01,,,,
159,A,nofish,fish2,fish,25.9,134.6,10.92,0.96,0.04,,,,
160,A,nofish,fish2,fish,27.5,149.1,11.86,2.01,0.05,,,,
161,A,nofish,fish2,fish,24.16,115.73,9.71,1.85,0.07,26.2,2.22,3.65,0.05
162,A,nofish,fish2,fish,24.1,124.5,10.47,1.82,0.07,,,,
163,A,nofish,fish2,fish,22.1,111,9.5,1.14,0.06,21.55,0.97,4.07,0.05
164,A,nofish,fish2,fish,22.7,123.3,10.65,1.17,0.06,,,,
165,A,nofish,fish2,fish,22.1,127.2,11.08,1.08,0.08,20.55,,7.21,0.05
166,A,nofish,fish2,fish,23.5,137.4,11.69,0.71,0.13,,,,
167,A,nofish,fish2,fish,24.1,143,12.04,1.08,0.09,,,,
168,A,nofish,fish2,fish,23.13,126.097,10.79,1.23,0.11,31.75,14.91,1.57,0.08
115,B,ambient,fish0,nofish,16,123.2,12.18,19.7,0.49,33.25,2.5,3,0.07
118,B,ambient,fish0,nofish,11.2,105.1,11.56,15.5,0.38,24.6,1.92,0.1,0.06
121,B,ambient,fish0,nofish,11.3,100.9,11.03,23.9,0.39,36.35,8.95,0.1,0.06
